sha256,case_ratio,characters_count,under_line_count,under_line_ratio,word_count,word_len_avg,operator_count,operator_ratio,string_variables,string_len_word_avg,string_word_ratio,comment_words_count,comment_lines_count,comment_len_word_avg,comment_char_entropy,code_words_count,code_lines_count,code_len_word_avg,code_char_entropy,arithm_funcs_ratio,type_convers_funcs_ratio,text_funcs_ratio,obfuscation_funcs_ratio,high_imp_funcs_ratio,auto_funcs_ratio,open_funcs_ratio,get_funcs_ratio,proces_inters_ratio,lines_count,character_entropy,url_count,macro_size,file_size,macro_file_ratio,amount_of_files,code_files
86fbd18945d664bc2e1f5dcfb475b6a6a6c60b2828374d559a2cdda667e4043c,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,146433,0.002,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,75264,0.004,1,1
f7dc092b4ac5c6038a6b45307b59e272cdba2f16e756b0c564fb5ea20a1016a7,0.282,260,8,0.031,28,8.714,12,0.429,2,7,0.214,0,0,0,0,28,8,8.714,4.642,0,0,0,0,0,0,0,0,0,8,4.642,0,300,143872,0.002,1,1
4f792491cd864f30d631cae96fe67ab68fbcab0911f2c27102e3a42eb9e2f3ac,0.357,23,1,0.043,3,6.667,1,0.333,1,4,0.333,0,0,0,0,3,1,6.667,3.795,0,0,0,0,0,0,0,0,0,1,3.795,0,28,65536,0,1,1
99123a6008e43706e9b35e27d61fec4c00b27e12dc6e2bae28d88a2fd76611c4,0.273,273,9,0.033,27,9.556,9,0.333,3,13.667,0.111,0,0,0,0,27,9,9.556,4.582,0,0,0,0,0,0,0,0,0,9,4.582,0,309,47616,0.006,2,2
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,18944,0.016,1,1
715ee44819b5dfadbba7e55aa53c6fe750131ca2fb38a050f666547f182f7419,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,165376,0.002,1,1
3462dcb3a429a62ed75643caef72a52905833cd7403b38344ee1d5e9afc0496a,0.303,245,2,0.008,44,4.091,19,0.432,15,2.417,0.273,0,0,0,0,44,15,4.091,4.91,0,0,0,0,0.023,0.023,0,0,0,34,4.91,0,361,13312,0.027,1,1
cf7c4e9247bb1b4e2516cbc2db4086f312b6248d963180578f61b56c131dd661,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,87552,0.003,1,1
86130bdfc3f0c65b035a0a529c4dbe8ecfa0beb20946ee8e24ebb8609d877155,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,41472,0.007,1,1
4660607bc70c30c53876fd26baa7a0fd67705d8bfedea90f9f150c519f39e4db,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,277,116224,0.002,1,1
6fb9484b078059bd4cc005e84ca8ede0c504784ea6a1514e56ef9c0aba7aa035,0.276,305,9,0.03,33,8.606,9,0.273,4,11.25,0.121,0,0,0,0,33,12,8.606,4.71,0,0,0,0,0.03,0.03,0,0,0.03,12,4.71,0,359,11264,0.032,2,2
0dee93738532a0b6b5e53e5fa48467380db71b00fd43b3dc974ebb3826fd87d9,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,36352,0.008,1,1
290fe595c3e224cc0b415d461e5da4209276f45033ed2284fb99a49240280bff,0.283,254,8,0.031,27,8.778,12,0.444,2,7,0.185,0,0,0,0,27,8,8.778,4.619,0,0,0,0,0,0,0,0,0,8,4.619,0,294,25600,0.011,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,23040,0.013,1,1
0f2c2e665d541581374c0403005ecb5a408577a2d3681ac9e7a7f2212e0cc9b2,0.269,309,9,0.029,33,8.758,8,0.242,4,11.25,0.121,0,0,0,0,33,11,8.758,4.831,0,0,0,0,0.03,0,0.03,0,0.03,11,4.831,0,363,7680,0.047,1,1
7ec7199780db1fa0a0f25973283a05e58593a7ffaac0147aab9924795ee1a0a2,0.249,312,7,0.022,29,10.241,9,0.31,2,16,0.069,0,0,0,0,29,11,10.241,4.756,0,0,0,0,0.034,0.034,0,0,0,11,4.756,0,361,37888,0.01,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,14848,0.021,1,1
bb294b8a1645a50485bd849dc86f4da13332799379d450b6c09592aacca0d2ae,0.313,26,1,0.038,3,7.667,1,0.333,1,7,0.333,0,0,0,0,3,1,7.667,4.181,0,0,0,0,0,0,0,0,0,1,4.181,0,31,94720,0,1,1
46545e49981a542ada14b8da5396722a57d361bf42060d19a98dcbe50252b66c,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,97280,0.003,1,1
c91bfb26b9ee30ac14c4962b0ee87e01e08a9bbe76e7028b667ed05d29bd7e60,0.317,101,2,0.02,12,7.417,2,0.167,2,17.5,0.167,0,0,0,0,12,5,7.417,5.074,0,0,0,0,0.083,0.083,0,0,0.083,7,5.074,1,124,24064,0.005,3,1
fcb45466a3c46a21e1bbbde7f67ff3cdb9bd20a3df63fe2a73d9b1339d49dfe3,0.282,259,8,0.031,28,8.679,12,0.429,2,6.833,0.214,0,0,0,0,28,8,8.679,4.621,0,0,0,0,0,0,0,0,0,8,4.621,0,299,143360,0.002,1,1
1b17d5b1b423b926a61b5982dc255285b8c25c9826aea6d97ce19d7fce56efea,0.28,307,10,0.033,35,8.229,13,0.371,3,7,0.2,0,0,0,0,35,10,8.229,4.732,0,0,0,0,0,0,0,0,0,11,4.732,0,359,617472,0.001,2,2
2f7dd28d07af2332ca9b26ec6a74d7bd22bed4830dba589251cba91cec5fd02e,0.271,271,9,0.033,27,9.481,9,0.333,3,13,0.111,0,0,0,0,27,9,9.481,4.569,0,0,0,0,0,0,0,0,0,11,4.569,0,320,102912,0.003,2,2
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.283,254,8,0.031,27,8.778,12,0.444,2,7,0.185,0,0,0,0,27,8,8.778,4.619,0,0,0,0,0,0,0,0,0,8,4.619,0,294,31232,0.009,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,38912,0.008,1,1
625ca7b800eb33d3da716f24d429332a150a3f231eaac4a99290e3604787a9a8,0.283,254,8,0.031,27,8.778,12,0.444,2,7,0.185,0,0,0,0,27,8,8.778,4.619,0,0,0,0,0,0,0,0,0,8,4.619,0,294,191488,0.002,1,1
9041419bf5949de850edc70269bb948e7d513eb90d02e135d77967421dcc6943,0.282,260,8,0.031,28,8.714,12,0.429,2,7,0.214,0,0,0,0,28,8,8.714,4.642,0,0,0,0,0,0,0,0,0,8,4.642,0,300,61952,0.005,1,1
18c09184f24e97f1f7fa0cb1647b9e6cce2b2937a14a944f1cb57a5c57978741,0.511,187,3,0.016,26,6.346,5,0.192,3,17.5,0.154,0,0,0,0,26,8,6.346,5.238,0,0,0,0,0.038,0.038,0,0.038,0.038,12,5.238,0,228,10752,0.021,1,1
b66b810b26dc088e9c3068e6f2eb32a64fed117ad00d54fad4c75e5a98e3aaaa,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,41984,0.007,1,1
d79cef9176ef643ac146985aa72caaa09b9cc235a452983455058dff2ae7034a,0.286,31,1,0.032,3,9.333,1,0.333,1,12,0.333,0,0,0,0,3,1,9.333,4.285,0,0,0,0,0,0,0,0,0,1,4.285,0,36,38400,0.001,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.282,259,8,0.031,28,8.679,12,0.429,2,6.833,0.214,0,0,0,0,28,8,8.679,4.632,0,0,0,0,0,0,0,0,0,8,4.632,0,299,77824,0.004,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.282,259,8,0.031,28,8.679,12,0.429,2,6.833,0.214,0,0,0,0,28,8,8.679,4.632,0,0,0,0,0,0,0,0,0,8,4.632,0,299,60416,0.005,1,1
797c1681a5dba67d8f9c87e9a235d5c93974547c830f450afd27b26a70aa9267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13312,0,1,0
2994dea8baa0d696c423bad3bd0f1868df20f340e3585b1b602879b0da9a4e88,0.339,312,9,0.029,33,8.697,13,0.394,3,7.333,0.273,0,0,0,0,33,9,8.697,5.004,0,0,0,0,0,0,0,0,0,9,5.004,0,361,98304,0.004,1,1
173785183a9d4a249613d0e51dceae54cbf95c7b3693a0811155a48e58ce1027,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,49664,0.006,1,1
67d2791d9963ee15bb079cc1bfcbd94f4786a4bc62d359cecd78a76befd4fcae,0.261,254,8,0.031,24,10.083,8,0.333,2,20.5,0.083,0,0,0,0,24,8,10.083,4.557,0,0,0,0,0,0,0,0,0,8,4.557,0,294,198144,0.001,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.282,259,8,0.031,28,8.679,12,0.429,2,6.833,0.214,0,0,0,0,28,8,8.679,4.632,0,0,0,0,0,0,0,0,0,8,4.632,0,299,19968,0.015,1,1
